"jp_text","kr_text"
子供は風の子、寒くても外で元気に遊ぶ。,"아이는 바람의 아이, 추워도 밖에서 씩씩하게 논다."
庭に木がたくさん生えている。,뜰에는 나무가 많이 자라고 있다.
外国の言葉を話せるようになりたい。,외국어를 할 수 있게 되고 싶다.
お盆には、親類一同が実家に集まる。,오봉(백중날)에는 친척 일동이 본가에 모인다.
彼女は、ピアノの演奏がとても達者だ。,그녀는 피아노 연주가 매우 능숙하다.
赤ちゃんにおしゃぶりをくわえさせると、すぐに泣き止んで眠った。,아기에게 쪽쪽이를 물려주자 금방 울음을 그치고 잠들었다.
赤ちゃんの夜泣きが激しくて、両親は寝不足の日々を送っている。,아기의 밤울음이 심해서 부모는 수면 부족인 나날을 보내고 있다.
とんでもないです。私たちも今来たところです。,천만에요. 저희도 방금 막 온 참입니다.
ビザの申請には、たくさんの書類が必要だ。,비자 신청에는 많은 서류가 필요하다.
会議で部長に名指しで意見を求められた。,회의에서 부장에게 지목당해 의견을 요구받았다.
試験で不正をすると厳しく処分される。,시험에서 부정을 하면 엄하게 처분된다.
水は透明な物質だが、海では青く見える。,물은 투명한 물질이지만 바다에서는 파랗게 보인다.
風邪をひいたのか、体が怠い。,감기에 걸렸는지 몸이 나른하다.
寒いから厚い靴下を履きます。,추우니까 두꺼운 양말을 신습니다。
話すのが好きな友達がいます。,이야기하는 것을 좋아하는 친구가 있습니다.
ここはうちの縄張だから、勝手に入るなと睨まれた。,여긴 자기 구역이라며 함부로 들어오지 말라고 노려보았다.
最近この辺りは物騒だから気をつけて。,요즘 이 근처는 뒤숭숭하니까 조심해.
トップバッターは私から失礼します。,첫 순서는 제가 실례하겠습니다.
事情を聞くと、彼に同情してしまった。,사정을 들으니 그에게 동정하게 되었다.
娘は来年、大学に進学する予定だ。,딸은 내년에 대학에 진학할 예정이다.
荷物は大小二つの箱に分けて送った。,짐을 크고 작은 두 상자로 나눠 보냈다。
棚の上にある本を取ってください。,선반 위에 있는 책을 집어 주세요。
こちらこそ、有意義な時間をありがとうございました。,저야말로 유익한 시간을 보내게 해주셔서 감사합니다.
彼はこの春入社した新人です。,그는 올봄에 입사한 신입입니다.
週末に家族で動物園に行った。,주말에 가족과 함께 동물원에 갔다.
渡る前に、右と左をよく見て。,건너기 전에 오른쪽과 왼쪽을 잘 보고.
白い雲が、空に浮かんでいる。,하얀 구름이 하늘에 떠 있다.
工事のためこの道はしばらく塞がっています。,공사 때문에 이 길은 한동안 막혀 있습니다.
被災地で無料の施療が行われた。,재난 지역에서 무료 진료가 이뤄졌다.
寒い冬に咲く赤い椿の花が印象的だった。,추운 겨울에 피는 붉은 동백꽃이 인상적이었다.
洋服をたたんで、タンスにしまう。,양복을 개서 장롱에 넣는다.
鉛筆の芯が折れたので、鉛筆削りを使った。,연필심이 부러져서 연필깎이를 사용했다.
社長夫人がパーティーに出席した。,사장 부인이 파티에 참석했다.
暗くて見えないので、電気のスイッチを入れた。,어두워서 보이지 않으니 전등 스위치를 켰다.
新しい靴を履いて出かけます。,새 신발을 신고 외출합니다。
産後は体がデリケートな時期なので、無理をせずゆっくり休むべきだ。,산후에는 몸이 예민한 시기이므로 무리하지 말고 푹 쉬어야 한다.
毎朝、子供と手を繋いで幼稚園に登園するのが日課になっている。,매일 아침 아이와 손을 잡고 유치원에 등원하는 것이 일과가 되었다.
