"lemma_id","lemma","jp_pron","kr_pron","kr_mean","level","en_mean"
56506,順逆,じゅんぎゃく,쥰갸쿠,순역 (순리와 거스름),N1,Right and wrong; direct and reverse
50646,脚立,きゃたつ,캬타츠,사다리,N1,stepladder
11728,現地,げんち,겐치,현지,N4,Local; on-site; the actual place
11039,景品,けいひん,케이힌,경품,N1,Prize; premium; free gift
40108,リモコン,リモコン,리모콘,리모컨,N5,remote control
37515,麺,めん,멘,면,N3,noodles
52994,食い縛る,くいしばる,쿠이시바루,악물다,N1,to clench (one's teeth)
11133,決済,けっさい,켓사이,결제,N1,Settlement; payment
8932,急,きゅ,큐,급,N5,Urgent; sudden; steep
9570,切れる,きれる,키레루,끊어지다,N4,To cut well; to snap; to expire; to be sharp
8680,切手,きって,킷테,우표,N3,Postage stamp
9853,逆転,ぎゃくてん,갸쿠텐,역전,N4,Reversal; turn-around
9622,緊急,きんきゅう,킨큐우,긴급,N4,Emergency; urgency
3083,受け取り,うけとり,우케토리,수취,N2,Receipt; receiving
32674,福袋,ふくぶくろ,후쿠부쿠로,복주머니,N1,lucky bag (mystery grab bag)
39209,横,よこ,요코,옆,N4,side; horizontal; width
32876,札,ふだ(さつ),후다(사츠),"표찰, 지폐",N2,tag; label; card; (fuda)
38511,止める,やめる,야메루,그만두다,N5,to stop (something)
30434,販売,はんばい,한바이,판매,N3,sales; marketing; selling
29847,発券,はっけん,핫켄,발권,N4,Issuing a ticket
30076,破片,はへん,하헨,파편,N3,Fragment / splinter
8272,気合い,きあい,키아이,기합,N2,Spirit; shout; energy
10259,靴下,くつした,쿠츠시타,양말,N4,Socks
8961,急遽,きゅうきょ,큐우쿄,"급거, 급하게",N1,Hurriedly; suddenly; urgently
34603,他,ほか,호카,모락,N2,other; another
8213,元旦,がんたん,간탄,"설날,원단",N2,New Year's Day; New Year's morning
16175,終電,しゅうでん,슈우덴,막차,N3,last train
35944,間に合う,まにあわ,마니아와,시간에 대다,N4,to be in time; to serve the purpose
28007,悩む,なやむ,나야무,고민하다,N3,"to be worried, to be troubled"
6519,数,かず,카즈,수,N4,Number; amount
6405,傾げる,かしげる,카시게루,기울이다,N1,To tilt; to lean
2225,いっそ,いっそ,잇소,"차라리, 아주",N1,Rather; sooner; might as well
4855,送る,おくる,오쿠루,보내다,N5,To send; to see someone off; to spend (time)
13138,壊れる,こわれる,코와레루,고장나다,N4,To be broken; to break
25805,伝票,でんぴょう,덴표우,전표,N1,"slip, voucher, bill"
24807,釣り,つり,츠리,"낚시,잔돈",N3,"fishing, angling, change (money)"
22630,食べる,たべる,타베루,먹다,N5,to eat
178124,傘立て,かさたけ,카사타케,우산꽂이,N1,Umbrella stand
19696,静,せい,세이,정,N1,"quiet, stillness"
5161,夥しい,おびただしい,오비타다시이,어마어마한,N1,Abundant; innumerable; tremendous
12298,購入,こうにゅう,코우뉴우,구입,N4,Purchase; buy
34809,褒める,ほめる,호메루,칭찬하다,N3,to praise; to commend
9842,虐殺,ぎゃくさつ,갸쿠사츠,학살,N1,Massacre; slaughter; carnage
4922,教え込む,おしえこむ,오시에코무,철저히 가르치다,N1,To instill; to train; to hammer into
1055,飴,あめ,아메,사탕,N3,Candy; sweets
18224,充電,じゅうでん,쥬우덴,충전,N3,charging (a battery)
18472,城,ぞ(しろ),조(시로),성,N4,castle
15310,支持,しじ,시지,지지,N4,Support; backing; maintenance
67360,名手,めいしゅ,메이슈,명수,N1,Expert; master
15407,従う,したがう,시타가우,따르다,N4,To obey; to follow; to accompany
15312,史実,しじつ,시지츠,사실,N1,Historical fact
63493,珍客,ちんかく,친카쿠,진객(반가운/귀한 손님),N1,Unusual guest
55550,逆立つ,さかだつ,사카다츠,곤두서다,N1,To stand on end (hair); to bristle
53311,擽ったい,くすぐったい,쿠스굿타이,간지럽다,N1,ticklish; embarrassing
41584,虹,にじ,니지,무지개,N4,rainbow
39071,容赦,ようしゃ,요우샤,"용서,용사",N2,pardon; forgiveness; mercy
14379,覚ます,さます,사마수,깨우다,N2,To wake up; to awaken (someone)
14259,札,さつ,사츠,지폐,N4,Banknote; bill; tag; label
34644,保険,ほけん,호켄,보험,N4,insurance; guarantee
32899,復旧,ふっきゅう,훗큐우,복구,N2,restoration; recovery (to original state)
32907,復興,ふっこう,훗코우,복구,N3,reconstruction; revival
34720,蛍,ほたる,호타루,반딧불이,N2,firefly
276748,三拝,さんはい,산하이,삼배,N1,Three worships / Bowing three times
33378,物資,ぶっし,붓시,물자,N3,goods; resources; supplies
9072,九百,きゅうひゃく,큐우햐쿠,구백,N1,Nine hundred
7220,殻,から,카라,껍질,N2,Shell; husk; hull
8204,元日,がんじつ,간지츠,"설날,원단",N2,New Year's Day
7618,慣習,かんしゅう,칸슈우,관습,N2,Custom; habit; convention
60439,凍土,とおど,토오도,동토,N2,Frozen soil; permafrost
28921,寝る,ねる,네루,자다,N5,To sleep / to go to bed
